,SID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,a,-3895.9939751724064,-2648.484185719979,3461.677201274575,-1219.1033624618178,-343.7055383312835,573.4479928530593,-2446.250153352674,-874.0720829015867,466.5468289918316,-824.1890061531685,235.9518687190571,317.25023005822186,-759.9795351062792,512.1584357960712,107.02589159926477,151.4192220103359,131.82745216799933,-640.9796698885527,907.1212654366901,-172.02084354830072
11,a,-3178.6613473814564,-2350.8464502088214,2679.36294918051,-638.6776319141429,86.10909219022412,92.83710312251854,-2059.0591878374616,-852.5725761697566,-306.22728278533106,-615.7072044020057,210.76881169735478,-237.23697600069391,-1072.790120951317,-650.4543786141307,-196.32089175933044,302.1055930854652,351.52036478372946,-404.3164694100237,260.5663567555852,235.32016874906793
12,a,-3689.1113044457416,-1590.8641232174878,3137.815828206323,-1318.5385646562788,1039.295542718701,-1576.1417471793186,-1135.5266130069917,-295.8229764352763,-740.006251636451,-316.7884475302769,1168.2989298414616,1408.2614885300673,1959.5731369476873,341.32155332036774,1282.342492778447,-531.3698013253708,-966.1386492993197,476.7497974692665,-1249.994768086902,-547.5739449220669
13,a,-3218.6576880349044,-2803.8172588577454,2147.8672292959077,-551.0600441634103,-612.2159968686981,171.19430840028468,-1514.400421231419,-803.2978965792776,-104.45117316856701,245.72041454742097,-191.66295636516892,-1137.2402400166573,-959.8509491063917,914.2454772161344,-530.1976727755269,949.2445737790815,-520.5021994333352,279.7004205961374,646.4823299383603,580.0486781612998
14,a,-4122.056712040514,-1315.596320561316,3619.473238101055,-1082.0634564028705,1657.5504040522396,-1266.0359639647425,-2067.8767941657857,-1115.769372213938,-603.6149443037433,-953.323912856476,1294.8751460101112,1517.4284999414563,1298.66881565932,-1047.4404799456183,1624.510001883832,-1087.8810573765297,-130.37907105796685,149.60723807190948,-1949.2298830766858,-553.8825232360658
15,a,-3944.5515187337346,-3816.982651379223,788.3551229034985,-2003.2619639067125,815.0866059858306,561.9314452944839,2105.142549754843,2146.3236465149066,-383.27845933257106,923.422569776175,-1474.4563208264942,-387.4999073228436,1141.9895972131612,-1338.524875075805,-561.1794666711945,-286.4231450432486,655.57430527528,598.8706416653824,-191.63608533469244,-612.6188053149273
16,a,-3896.831671259889,-3372.6098213582045,-1961.7793155092393,-3187.9461021452503,1472.615885643009,515.9733781241699,5212.020152018529,2243.112673280249,430.33650980960556,-899.4568044988143,114.23630773400113,1018.0821060960286,-878.6953777028627,1497.6334961801492,801.7308808204617,-174.59238075602337,1325.5374509900696,-1795.9886686769976,474.78549770757365,-1812.1323291639549
17,a,-4548.706836073196,-4290.578582880988,-1029.8858210764292,-3357.9757681205533,943.8813333559422,441.9761814626563,4524.002750549907,1841.0609355347842,594.6626577437446,379.70937675592086,-717.5615256166863,422.4659041113941,-68.21067415298512,814.6396107103461,513.0129723095066,-335.6623852959168,890.5734992290102,-1307.5182337249623,318.43598609424134,-393.63426011159146
18,a,-5096.676000631823,-4148.183330412404,862.3239577499972,-2800.5967392510497,1016.8904907811108,286.8363400870443,2470.0367772161344,1830.8697997277784,346.4928299587373,1225.4818965382192,-1329.2365678568901,-419.1517992221899,1175.0184577846942,-1091.8253624047202,-743.9470243817699,-564.6668430687562,453.35839409282636,606.4381617985879,-188.85627811574307,276.02272280143455
19,a,-5189.140040370603,-4153.371896394703,1655.587662648286,-2466.9516735878024,1480.4374764452082,343.1031822441749,1669.979989334192,1617.3599517116788,357.26141785892173,1032.0111630834647,-761.8508661109211,408.56244947696064,1305.3570047777962,-2114.850816071682,-732.8811702930055,-774.3455914685904,726.8014101606069,221.09472243535438,-6.0263944213614415,-86.87360873689043
